,bike1,bike101,bike102,bike103,bike104,bike105,bike106,bike107,bike108,bike2,bike201,bike202,bike203,bike204,bike205,bike3,bike4,bike42,bike5,bike501,bike502,bike503,bike504,bike6,bike8,bike9,boat1,boat101,boat102,boat103,boat2,boat201,boat202,boat203,boat22,boat2201,boat2202,boat2203,boat3,boat301,boat302,boat303,boat32,boat3201,boat3202,boat3203,boat4,boat401,boat402,boat403,boat5,boat501,boat502,boat503,boat504,boat505,boat506,boat507,boat508,boat509,boat510,boat6,boat8,boat9,branch3,camp1,camp10,camp101,camp102,camp103,camp104,camp105,camp106,camp107,camp108,camp12,camp13,camp2,camp201,camp202,camp203,camp3,camp301,camp302,camp303,camp304,camp305,camp306,camp4,camp401,camp402,camp403,camp5,camp501,camp502,camp503,camp6,camp601,camp602,camp603,camp604,camp7,camp701,camp702,camp703,camp8,camp9,climb1,climb101,climb102,climb103,climb104,climb105,climb2,climb4,climb5,disk1,disk101,disk102,disk103,disk104,disk105,disk106,disk107,disk108,disk12,disk3,disk4,fish1,fish10,fish101,fish102,fish103,fish2,fish201,fish202,fish203,fish3,fish301,fish302,fish303,fish304,fish305,fish306,fish307,fish308,fish4,fish401,fish402,fish403,fish404,fish405,fish5,fish501,fish502,fish503,fish504,fish505,fish6,fish601,fish602,fish603,fish604,fish7,fish9,foot1,foot101,foot102,foot103,foot104,foot105,foot106,foot2,foot3,foot5,foot6,gard1,gard2,gard3,gard3st,gard4,gard6,gard7,golf1,golf101,golf102,golf103,golf104,golf105,golf106,golf107,golf108,golf109,golf110,golf111,golf2,golf4,golf5,hand1,hand101,hand102,hand103,hand104,hand105,hand106,hand107,hand108,hand109,hand2,hand4,hand5,hik1,hik101,hik102,hik103,hik104,hik105,hik106,hik2,hik201,hik202,hik203,hik204,hik205,hik3,hik301,hik302,hik303,hik304,hik305,hik306,hik307,hik308,hik309,hik310,hik311,hik312,hik4,hik6,hik7,hiweight,idnumber,loweight
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.30,99.00,1.20
30,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,No,No,,,,,,4,Highly satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.76,304.00,1.74
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,101000,14,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Neither satisfied nor dissatisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,1000,Checked,Not checked,Not checked,Not checked,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,1,Satisfied,Not checked,Not checked,Checked,110,Checked,Checked,Not checked,10001000,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Checked,Not checked,60,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,5117.96,23.00,1.29
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,110,Checked,Checked,Not checked,,,,,,,,,,,,,11000,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,4,Highly dissatisfied,Satisfied,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,Satisfied,Checked,Checked,Not checked,110,Checked,Checked,Not checked,100,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Checked,Not checked,4,Highly dissatisfied,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,100000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,3,Satisfied,Satisfied,4201.59,24.00,1.06
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,10010000000,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,4,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5352.74,25.00,1.35
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.64,26.00,0.57
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.80,27.00,0.61
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,10,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,2,Satisfied,,,,,,,,,,,,No,,Yes,,,No public facilities nearby,No public facilities nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,100000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Satisfied,Satisfied,294.55,28.00,1.74
37,10100000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,No,No,,,,,,20,Satisfied,Satisfied,10,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,10,Not checked,Checked,Not checked,10,Not checked,Checked,Not checked,,,,,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,30,Satisfied,Satisfied,At least 18,1000100,10,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Satisfied,Satisfied,,,,,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,,,,,,,1,Not checked,Not checked,Checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100,Not checked,Checked,Checked,Checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,5,Satisfied,Satisfied,160.89,29.00,0.83
38,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,No,No,,,,,,4,Satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,,,,,,,11000000000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,3,Highly satisfied,Satisfied,232.30,30.00,1.20
39,10100000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,No,No,,,,,,10,Highly satisfied,Highly satisfied,10,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,1,Not checked,Not checked,Checked,1,Not checked,Not checked,Checked,10,Not checked,Checked,Not checked,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,25,Highly satisfied,Highly satisfied,At least 18,10001000,10,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Highly satisfied,Highly satisfied,10,Not checked,Checked,Not checked,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Neither satisfied nor dissatisfied,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,10000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Highly satisfied,Highly satisfied,84.36,31.00,0.44
40,11100000,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,11000,Checked,Checked,Not checked,Not checked,Not checked,No,No,No,,,,,,6,Satisfied,Satisfied,,,,,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,10001000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,15,Satisfied,Highly satisfied,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Highly satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,160.89,32.00,0.83
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.57,145.00,1.48
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,100,21,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Satisfied,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,110,Checked,Checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,No public facilities nearby,No public facilities nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111000,Checked,Checked,Checked,Not checked,Not checked,Not checked,1100,Not checked,Checked,Checked,Not checked,Not checked,111001101000,Checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,,Satisfied,Satisfied,1278.64,100.00,0.57
43,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,No,No,,,,,,5,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,10000000,6,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,100,Checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,12,Satisfied,Satisfied,10000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,30,No public facilities nearby,Satisfied,100100,Checked,Not checked,Not checked,Checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,10010000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,150,Satisfied,Satisfied,84.36,33.00,0.44
44,10100000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,No,No,,,,,,5,Satisfied,Satisfied,,,,,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,1010001000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,9,Satisfied,Satisfied,At least 18,100,21,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,15,Satisfied,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,11000000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,12,Satisfied,Satisfied,,,,,,,,,,,,,,111100,Checked,Checked,Checked,Checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,10000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,6,Satisfied,Satisfied,110.69,34.00,0.57
45,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,No,No,,,,,,15,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,No public facilities nearby,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595.42,35.00,1.36
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,10001000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,30,Satisfied,Satisfied,At least 18,100,210,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Dissatisfied,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814.35,36.00,0.71
47,100000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,No,No,No,,,,,,12,Satisfied,Dissatisfied,10,Not checked,Checked,Not checked,,,,,,,,,,,,,,,,,,,,,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,2,Satisfied,Satisfied,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,2,Satisfied,,,,,,,,,,,,No,,Yes,,,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,11000,Checked,Checked,Not checked,Not checked,Not checked,1000000,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,5,Satisfied,Satisfied,2961.50,37.00,0.74
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,10,Not checked,Checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,6,Satisfied,Satisfied,At least 18,1100,20,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,100,Checked,Not checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,2833.07,38.00,0.71
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Highly satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.63,39.00,0.40
50,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,No,No,,,,,,45,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,1000,3,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Satisfied,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,5,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.73,40.00,1.57
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Highly satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10,Not checked,Not checked,Not checked,Checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,4,Highly satisfied,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,2,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.73,41.00,1.57
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3226.77,42.00,0.81
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,1000,10,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Highly satisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,No,11000,Checked,Checked,Not checked,Not checked,Not checked,,No public facilities nearby,No public facilities nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,No public facilities nearby,No public facilities nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,20,No public facilities nearby,No public facilities nearby,1278.64,55.00,0.57
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.69,101.00,0.57
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Satisfied,Checked,Not checked,Not checked,110,Checked,Checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Checked,Not checked,2,Satisfied,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.65,102.00,1.13
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,Satisfied,Checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,20,Satisfied,,,,,,,,,,,,No,,Yes,,,Highly satisfied,Highly satisfied,100100000,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,1000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,16,Highly satisfied,Highly satisfied,10000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,4,Satisfied,Satisfied,2241.35,43.00,0.56
57,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,No,No,,,,,,5,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,100,35,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,110,Checked,Checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,10,Highly satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10100,Checked,Not checked,Checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,10,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.20,44.00,0.71
